id_comunidad,territorio_tradicional,superficie_territorio_km2,año_reconocimiento_legal,principales_actividades_economicas,status_tierra
MAW-AR-001,Territorio Mapuche Lafkenche,850.5,2009,Agricultura tradicional y artesanía,Parcialmente recuperado
AYM-TA-002,Altiplano Andino,1200.3,2015,Pastoreo y agricultura de altura,Reconocido
RAP-VA-003,Isla de Pascua,171.5,1966,Turismo y pesca,Autónomo
COY-BI-004,Cordillera de Atacama,350.7,2012,Minería artesanal y ganadería,En proceso
DI?-AT-005,Valle de Atacama,275.2,2010,Agricultura de oasis,Parcial
QUE-MA-006,Altiplano Puneño,620.1,2018,Ganadería de camélidos,Limitado
LIC-LI-007,Región de Antofagasta,450.6,2014,Turismo y agricultura,Parcialmente reconocido
CHI-AI-008,Costa de Arica,85.3,2005,Pesca artesanal,Restringido
CON-AI-009,Litoral de Antofagasta,102.4,2007,Pesca y recolección,Mínimo
TIA-AI-010,Zona Arqueológica Andina,230.5,2016,Arqueología y turismo cultural,Protegido
PAC-AI-011,Altiplano Fronterizo,345.2,2013,Agricultura y ganadería,Reconocido
KAW-AR-012,Territorio Kawésqar,672.8,2017,Pesca y turismo,Parcial
YAG-MA-013,Territorio Yagán,128.6,2011,Artesanía y turismo cultural,Recuperado
ATN-BI-014,Zona Andina Norte,456.7,2014,Minería y pastoreo,En proceso
MAT-AI-015,Territorio Mapuche Transicional,289.4,2010,Agricultura y artesanía,Parcialmente reconocido
AIL-LI-016,Altiplano Central,534.9,2016,Pastoreo de camélidos,Reconocido
QUE-AN-017,Zona Puneña,412.3,2015,Agricultura de altura,Limitado
KON-AR-018,Valle Central Mapuche,276.5,2012,Agricultura tradicional,Parcial
HUI-AI-019,Costa Mapuche,193.7,2008,Pesca y agricultura,Restringido
PEH-BI-020,Territorio Pehuenche Andino,487.6,2017,Ganadería y bosques,Reconocido
MAM-MA-021,Territorio Mapuche Austral,623.4,2019,Agricultura y ganadería,Autónomo
ATM-LI-022,Desierto de Atacama,398.2,2013,Minería artesanal,En proceso
COL-AT-023,Cordillera de la Sal,267.9,2011,Minería y pastoreo,Parcial
DI?-BI-024,Valle Transversal,312.6,2015,Agricultura y artesanía,Reconocido
AYM-AN-025,Altiplano Antofagasta,789.5,2016,Pastoreo y agricultura,Reconocido
QUI-AR-026,Territorio Quichua Araucanía,215.3,2010,Agricultura tradicional,Parcialmente reconocido
LIP-AI-027,Zona Atacameña,356.8,2014,Turismo y agricultura,Limitado
CHI-MA-028,Territorio Chono,102.7,2007,Pesca y recolección,Mínimo
TEH-BI-029,Pampa Patagónica,456.2,2018,Ganadería extensiva,Reconocido
NAP-AI-030,Zona Andina Fronteriza,278.5,2012,Agricultura de altura,Parcial
PUN-AN-031,Altiplano Puneño Sur,512.4,2016,Pastoreo de camélidos,Reconocido
TIC-LI-032,Valle Andino,189.6,2011,Agricultura tradicional,Restringido
MAR-MA-033,Territorio Mapuche Williche,542.7,2015,Agricultura y bosques,Parcialmente recuperado
QUE-TA-034,Zona Puneña Tarapacá,387.9,2017,Agricultura de altura,Reconocido
KAL-AR-035,Territorio Kallawaya,224.6,2013,Medicina tradicional y agricultura,Limitado
HUI-BI-036,Costa Mapuche Sur,276.3,2010,Pesca y agricultura,Parcial
AIM-AI-037,Altiplano Arica,678.2,2016,Pastoreo y agricultura,Reconocido
DIG-AT-038,Valle Diaguita,312.5,2014,Agricultura de terrazas,Parcialmente reconocido
PAC-TA-039,Zona Andina Tarapacá,456.8,2015,Pastoreo de camélidos,Limitado
YAM-LI-040,Territorio Yamana,98.4,2008,Pesca y recolección,Mínimo
COL-AI-041,Cordillera Andina,267.5,2012,Minería artesanal,Parcial
NAV-AN-042,Zona Atacameña Norte,189.7,2011,Turismo y agricultura,Restringido
TRA-AR-043,Territorio Mapuche Central,423.6,2014,Agricultura tradicional,Reconocido
QUE-BI-044,Zona Andina Biobío,312.4,2016,Agricultura de altura,Parcial
LIC-AI-045,Desierto Atacameño,456.9,2013,Turismo y minería,En proceso
CHO-MA-046,Territorio Chono Austral,87.5,2007,Pesca tradicional,Mínimo
TEH-MA-047,Pampa Patagónica Sur,389.6,2018,Ganadería extensiva,Reconocido
HUI-TA-048,Costa Mapuche Tarapacá,203.8,2010,Pesca y agricultura,Parcialmente reconocido
AYM-LI-049,Altiplano Antofagasta Central,567.4,2015,Pastoreo y agricultura,Reconocido
PAC-BI-050,Zona Andina Biobío Sur,278.6,2017,Pastoreo de camélidos,Limitado
